product,category,date,sales_amount
Laptop,Electronics,2025-04-30,890
Smartphone,Electronics,2025-04-30,522
Jacket,Clothing,2025-04-30,171
Jacket,Clothing,2025-04-30,76
Rice,Groceries,2025-04-30,175
Rice,Groceries,2025-05-07,9
Jeans,Clothing,2025-05-07,136
Jeans,Clothing,2025-05-07,66
Jacket,Clothing,2025-05-07,31
Smartphone,Electronics,2025-05-07,592
Headphones,Electronics,2025-05-07,760
Headphones,Electronics,2025-05-07,270
Headphones,Electronics,2025-05-14,771
T-Shirt,Clothing,2025-05-14,184
Snacks,Groceries,2025-05-14,16
Rice,Groceries,2025-05-14,106
Snacks,Groceries,2025-05-14,55
Rice,Groceries,2025-05-21,153
Jeans,Clothing,2025-05-21,123
Jeans,Clothing,2025-05-21,136
Smartphone,Electronics,2025-05-21,744
Laptop,Electronics,2025-05-21,747
Headphones,Electronics,2025-05-21,239
Headphones,Electronics,2025-05-28,825
Headphones,Electronics,2025-05-28,282
T-Shirt,Clothing,2025-05-28,185
Coffee,Groceries,2025-05-28,28
Snacks,Groceries,2025-06-04,68
Coffee,Groceries,2025-06-04,104
Snacks,Groceries,2025-06-04,28
Jacket,Clothing,2025-06-04,206
Smartphone,Electronics,2025-06-04,520
Jeans,Clothing,2025-06-04,182
Smartphone,Electronics,2025-06-04,589
Laptop,Electronics,2025-06-04,807
Jeans,Clothing,2025-06-04,133
Smartphone,Electronics,2025-06-11,311
Laptop,Electronics,2025-06-11,631
Laptop,Electronics,2025-06-11,291
T-Shirt,Clothing,2025-06-11,70
T-Shirt,Clothing,2025-06-11,30
Rice,Groceries,2025-06-11,44
Rice,Groceries,2025-06-11,53
Rice,Groceries,2025-06-11,102
Coffee,Groceries,2025-06-18,39
Snacks,Groceries,2025-06-18,93
Jeans,Clothing,2025-06-18,78
Jeans,Clothing,2025-06-18,91
Laptop,Electronics,2025-06-18,280
Jeans,Clothing,2025-06-18,49
Smartphone,Electronics,2025-06-18,372
Laptop,Electronics,2025-06-18,235
Snacks,Groceries,2025-06-25,33
T-Shirt,Clothing,2025-06-25,67
Snacks,Groceries,2025-06-25,177
Smartphone,Electronics,2025-06-25,609
Headphones,Electronics,2025-06-25,758
Headphones,Electronics,2025-06-25,904
Headphones,Electronics,2025-07-02,527
Laptop,Electronics,2025-07-02,947
Headphones,Electronics,2025-07-02,944
T-Shirt,Clothing,2025-07-02,32
Coffee,Groceries,2025-07-02,122
Snacks,Groceries,2025-07-02,150
Coffee,Groceries,2025-07-09,65
Rice,Groceries,2025-07-09,157
Headphones,Electronics,2025-07-09,919
Smartphone,Electronics,2025-07-09,170
Jeans,Clothing,2025-07-09,87
Laptop,Electronics,2025-07-16,811
Headphones,Electronics,2025-07-16,902
Jacket,Clothing,2025-07-16,212
T-Shirt,Clothing,2025-07-16,32
Rice,Groceries,2025-07-16,110
Laptop,Electronics,2025-07-23,469
Smartphone,Electronics,2025-07-23,942
Jeans,Clothing,2025-07-23,148
Coffee,Groceries,2025-07-23,154
Rice,Groceries,2025-07-23,127
Rice,Groceries,2025-07-30,147
Coffee,Groceries,2025-07-30,129
Jeans,Clothing,2025-07-30,47
Rice,Groceries,2025-07-30,136
Headphones,Electronics,2025-07-30,465
Smartphone,Electronics,2025-07-30,723
Laptop,Electronics,2025-07-30,593
Smartphone,Electronics,2025-08-06,921
Jeans,Clothing,2025-08-06,72
T-Shirt,Clothing,2025-08-06,141
Rice,Groceries,2025-08-06,76
Rice,Groceries,2025-08-13,101
Rice,Groceries,2025-08-13,54
T-Shirt,Clothing,2025-08-13,53
Jacket,Clothing,2025-08-13,110
Laptop,Electronics,2025-08-13,366
Smartphone,Electronics,2025-08-13,195
Headphones,Electronics,2025-08-20,572
Headphones,Electronics,2025-08-20,593
Jacket,Clothing,2025-08-20,124
Coffee,Groceries,2025-08-20,108
Snacks,Groceries,2025-08-27,9
T-Shirt,Clothing,2025-08-27,93
Jeans,Clothing,2025-08-27,120
Headphones,Electronics,2025-08-27,219
Headphones,Electronics,2025-08-27,299
Headphones,Electronics,2025-08-27,641
Jeans,Clothing,2025-08-27,171
Smartphone,Electronics,2025-09-03,783
Jacket,Clothing,2025-09-03,148
T-Shirt,Clothing,2025-09-03,185
Snacks,Groceries,2025-09-03,178
Rice,Groceries,2025-09-10,19
Jeans,Clothing,2025-09-10,67
Smartphone,Electronics,2025-09-10,696
Headphones,Electronics,2025-09-17,372
Smartphone,Electronics,2025-09-17,873
Smartphone,Electronics,2025-09-17,846
Jeans,Clothing,2025-09-17,32
Coffee,Groceries,2025-09-17,97
T-Shirt,Clothing,2025-09-24,99
T-Shirt,Clothing,2025-09-24,138
Rice,Groceries,2025-09-24,28
Headphones,Electronics,2025-09-24,234
Laptop,Electronics,2025-09-24,315
Laptop,Electronics,2025-10-01,795
T-Shirt,Clothing,2025-10-01,225
Jacket,Clothing,2025-10-01,201
Coffee,Groceries,2025-10-01,103
Snacks,Groceries,2025-10-01,44
Rice,Groceries,2025-10-01,20
Rice,Groceries,2025-10-08,154
Laptop,Electronics,2025-10-08,461
Jacket,Clothing,2025-10-08,43
Laptop,Electronics,2025-10-08,917
Laptop,Electronics,2025-10-08,181
Smartphone,Electronics,2025-10-15,915
Jacket,Clothing,2025-10-15,152
Jacket,Clothing,2025-10-15,135
Rice,Groceries,2025-10-15,106
Smartphone,Electronics,2025-10-22,588
Jacket,Clothing,2025-10-22,168
Snacks,Groceries,2025-10-22,116
Snacks,Groceries,2025-10-29,83
Rice,Groceries,2025-10-29,81
Jacket,Clothing,2025-10-29,99
Headphones,Electronics,2025-10-29,305
Jeans,Clothing,2025-10-29,146
T-Shirt,Clothing,2025-10-29,187
Laptop,Electronics,2025-11-05,372
Headphones,Electronics,2025-11-05,638
T-Shirt,Clothing,2025-11-05,192
Jeans,Clothing,2025-11-05,161
Snacks,Groceries,2025-11-05,129
Coffee,Groceries,2025-11-05,12
Rice,Groceries,2025-11-12,139
Jacket,Clothing,2025-11-12,95
Laptop,Electronics,2025-11-12,541
T-Shirt,Clothing,2025-11-12,89
Jeans,Clothing,2025-11-12,169
Rice,Groceries,2025-11-19,148
Coffee,Groceries,2025-11-19,133
Coffee,Groceries,2025-11-19,155
Jacket,Clothing,2025-11-19,150
Laptop,Electronics,2025-11-19,301
Jacket,Clothing,2025-11-19,226
Smartphone,Electronics,2025-11-19,906
Jeans,Clothing,2025-11-19,43
Smartphone,Electronics,2025-11-26,480
T-Shirt,Clothing,2025-11-26,155
T-Shirt,Clothing,2025-11-26,116
Jeans,Clothing,2025-11-26,215
Rice,Groceries,2025-11-26,63
Headphones,Electronics,2025-12-03,236
Jeans,Clothing,2025-12-03,68
T-Shirt,Clothing,2025-12-03,184
Rice,Groceries,2025-12-03,54
Snacks,Groceries,2025-12-10,8
Rice,Groceries,2025-12-10,56
T-Shirt,Clothing,2025-12-10,170
Coffee,Groceries,2025-12-10,150
T-Shirt,Clothing,2025-12-10,188
Headphones,Electronics,2025-12-10,332
Jacket,Clothing,2025-12-10,171
Headphones,Electronics,2025-12-17,378
T-Shirt,Clothing,2025-12-17,227
Jeans,Clothing,2025-12-17,40
Jeans,Clothing,2025-12-17,228
Coffee,Groceries,2025-12-17,99
Rice,Groceries,2025-12-24,164
Rice,Groceries,2025-12-24,168
Coffee,Groceries,2025-12-24,152
Headphones,Electronics,2025-12-24,659
Headphones,Electronics,2025-12-24,435
T-Shirt,Clothing,2025-12-24,216
Rice,Groceries,2025-12-31,17
Headphones,Electronics,2025-12-31,666
Jeans,Clothing,2025-12-31,106
Rice,Groceries,2025-12-31,54
Coffee,Groceries,2025-12-31,116
