order_id,delivery_time,order_value
SWG0137,33.1,308.13
SWG0138,23.9,339.15
SWG0139,40.8,550.2
SWG0140,40.2,539.65
SWG0141,20.1,339.44
SWG0142,42.0,553.72
SWG0143,55.5,612.86
SWG0144,36.7,545.06
SWG0145,31.6,427.43
SWG0146,33.6,383.05
SWG0147,41.2,498.29
SWG0148,17.7,80.0
SWG0149,36.6,470.97
SWG0150,31.1,80.0
SWG0151,53.5,399.24
SWG0152,33.3,453.47
SWG0153,51.7,584.73
SWG0154,24.0,243.12
SWG0155,40.9,402.02
SWG0156,38.2,570.71
SWG0157,26.3,320.6
SWG0158,36.8,639.28
SWG0159,47.1,509.7
SWG0160,31.8,439.06
SWG0161,18.1,452.08
SWG0162,34.8,435.56
SWG0163,26.0,271.62
SWG0164,31.6,391.16
SWG0165,34.2,416.08
SWG0166,17.9,182.78
SWG0167,18.8,288.88
SWG0168,39.8,391.95
SWG0169,29.8,471.6
SWG0170,15.0,288.12
SWG0171,42.8,454.49
SWG0172,37.7,434.51
SWG0173,27.9,395.11
SWG0174,21.8,388.34
SWG0175,43.4,393.53
SWG0176,38.5,355.71
SWG0177,58.8,691.2
SWG0178,39.2,417.3
SWG0179,38.9,324.62
SWG0180,33.3,453.26
SWG0181,43.2,523.88
SWG0182,41.3,330.99
SWG0183,47.5,533.27
SWG0184,29.8,454.71
SWG0185,30.6,428.22
SWG0186,30.2,448.34
SWG0187,42.9,353.97
SWG0188,50.0,559.68
SWG0189,30.4,365.65
SWG0190,30.8,351.81
SWG0191,38.1,525.34
SWG0192,32.5,540.93
SWG0193,44.5,653.14
SWG0194,15.0,403.33
SWG0195,26.7,357.25
SWG0196,27.2,401.98
SWG0197,15.0,354.01
SWG0198,25.4,368.45
SWG0199,25.8,372.71
SWG0200,33.0,485.06
SWG0201,46.1,497.57
SWG0202,32.5,342.21
SWG0203,24.7,315.54
SWG0204,34.4,478.07
SWG0205,45.5,498.71
SWG0206,25.2,387.3
SWG0207,25.9,421.57
SWG0208,40.6,430.36
SWG0209,32.8,477.55
SWG0210,41.5,504.42
SWG0211,34.9,312.91
SWG0212,42.0,603.92
SWG0213,24.6,307.48
SWG0214,34.9,275.2
SWG0215,32.9,316.2
SWG0216,22.8,247.99
SWG0217,19.4,320.25
SWG0218,41.9,448.36
SWG0219,31.5,370.12
SWG0220,24.8,409.21
SWG0221,34.0,448.86
SWG0222,46.3,532.41
SWG0223,15.0,321.88
SWG0224,20.0,375.69
SWG0225,25.8,170.68
SWG0226,49.6,494.48
SWG0227,37.8,248.56
SWG0228,42.7,481.96
SWG0229,23.6,344.77
SWG0230,23.8,440.73
SWG0231,39.5,563.23
SWG0232,35.6,447.33
SWG0233,40.5,418.38
SWG0234,33.1,455.53
SWG0235,37.8,396.96
SWG0236,36.6,435.94
SWG0237,42.8,568.2
SWG0238,43.1,431.29
SWG0239,18.8,384.12
SWG0240,15.0,345.97
SWG0241,45.0,409.19
SWG0242,46.9,595.79
SWG0243,24.8,416.43
SWG0244,16.4,303.98
SWG0245,36.0,363.32
SWG0246,44.3,412.83
SWG0247,53.0,502.44
SWG0248,40.2,509.97
SWG0249,31.3,312.97
SWG0250,26.1,401.86
SWG0251,35.1,314.04
SWG0252,32.0,385.69
SWG0253,24.8,363.81
SWG0254,55.5,788.47
SWG0255,52.9,426.0
SWG0256,46.4,637.0
SWG0257,25.8,374.03
SWG0258,43.6,521.86
SWG0259,41.4,480.43
SWG0260,39.4,496.0
SWG0261,47.5,498.64
SWG0262,41.4,600.34
SWG0263,42.4,435.72
SWG0264,41.4,571.48
SWG0265,38.4,390.86
SWG0266,17.2,294.72
SWG0267,35.8,334.38
SWG0268,29.4,427.02
SWG0269,22.2,465.47
SWG0270,51.8,535.77
SWG0271,52.3,528.31
SWG0272,48.6,419.83
SWG0273,37.6,422.23
SWG0274,48.5,376.19
SWG0275,35.1,343.68
SWG0276,37.0,459.61
SWG0277,24.1,467.17
SWG0278,39.0,705.62
SWG0279,35.6,376.43
SWG0280,22.0,462.99
SWG0281,34.5,443.35
SWG0282,34.2,405.81
SWG0283,53.0,589.76
SWG0284,43.9,493.17
SWG0285,35.1,435.74
SWG0286,37.5,405.67
SWG0287,35.4,302.26
SWG0288,33.0,271.87
SWG0289,24.2,408.02
SWG0290,33.5,389.52
SWG0291,27.5,319.13
SWG0292,22.5,338.24
SWG0293,40.1,532.33
SWG0294,38.9,468.62
SWG0295,17.1,240.89
SWG0296,33.8,526.78
SWG0297,45.0,636.83
SWG0298,45.6,543.66
SWG0299,45.3,584.44
SWG0300,35.4,539.5
