product,rating,price
Product_81,4.31,2102.4
Product_82,3.8,2088.65
Product_83,3.94,1613.17
Product_84,3.93,1573.34
Product_85,3.56,2106.43
Product_86,4.32,1195.73
Product_87,3.89,1660.91
Product_88,4.11,1699.07
Product_89,4.32,1870.17
Product_90,4.3,1628.41
Product_91,4.4,1031.5
Product_92,4.06,1741.57
Product_93,3.91,1804.2
Product_94,4.06,1770.25
Product_95,3.34,3046.85
Product_96,3.45,1901.6
Product_97,3.5,2020.42
Product_98,3.65,2206.23
Product_99,4.28,1192.4
Product_100,3.69,2629.69
Product_101,3.93,1875.72
Product_102,4.68,1383.25
Product_103,3.94,1632.64
Product_104,4.43,1595.98
Product_105,3.68,2396.07
Product_106,4.01,1762.56
Product_107,3.67,2064.58
Product_108,3.95,1828.24
Product_109,4.48,1099.85
Product_110,3.32,2276.1
Product_111,4.3,1399.41
Product_112,4.21,1631.32
Product_113,3.83,2223.33
Product_114,3.45,1998.4
Product_115,4.13,1552.73
Product_116,3.86,2481.19
Product_117,4.2,1364.57
Product_118,4.11,1437.55
Product_119,4.82,1021.4
Product_120,3.99,2005.38
Product_121,3.64,2030.95
Product_122,4.18,2094.41
Product_123,4.2,1825.0
Product_124,4.71,1356.81
Product_125,4.48,1450.13
Product_126,4.26,2897.12
Product_127,4.76,970.42
Product_128,3.57,1801.14
Product_129,3.81,2613.65
Product_130,3.68,1884.88
Product_131,3.92,1800.61
Product_132,3.48,2712.58
Product_133,4.39,1095.15
Product_134,4.0,1478.83
Product_135,3.44,1948.15
Product_136,3.64,1862.07
Product_137,4.24,1619.9
Product_138,4.48,1437.76
Product_139,5.0,884.11
Product_140,5.0,561.05
Product_141,4.29,1132.04
Product_142,3.65,2028.7
Product_143,3.14,2370.36
Product_144,4.22,1645.39
Product_145,3.73,2175.92
Product_146,3.91,1819.58
Product_147,3.82,2119.12
Product_148,4.04,1735.26
Product_149,4.58,1347.65
Product_150,4.17,1401.57
Product_151,4.03,1633.22
Product_152,3.63,2087.91
Product_153,3.35,2575.94
Product_154,3.88,1719.29
Product_155,4.08,1797.88
Product_156,4.9,833.4
Product_157,4.16,1530.99
Product_158,4.54,1503.71
Product_159,3.88,1522.66
Product_160,3.57,1863.6
Product_161,3.67,1754.81
Product_162,3.77,1592.23
Product_163,5.0,659.6
Product_164,3.73,2199.3
Product_165,4.48,1205.64
Product_166,3.69,2034.46
Product_167,4.52,1651.64
Product_168,4.27,2010.32
Product_169,4.03,1659.14
Product_170,4.08,2198.97
Product_171,3.81,1903.51
Product_172,4.3,1263.43
Product_173,3.9,1668.41
Product_174,3.55,1860.48
Product_175,3.52,1954.06
Product_176,4.18,1459.77
Product_177,4.81,1250.63
Product_178,4.17,2379.8
Product_179,4.05,1422.33
Product_180,4.23,1615.03
Product_181,4.69,886.2
Product_182,4.2,1670.4
Product_183,3.92,1746.9
Product_184,4.6,884.67
Product_185,4.29,1773.95
Product_186,4.79,860.28
Product_187,4.18,1420.93
Product_188,3.55,1907.18
Product_189,3.48,2027.78
Product_190,4.84,1074.16
Product_191,4.88,868.65
Product_192,4.02,1782.22
Product_193,3.93,1875.62
Product_194,4.76,1569.99
Product_195,3.6,1981.2
Product_196,3.7,1726.84
Product_197,4.39,1756.75
Product_198,3.92,1695.05
Product_199,4.1,2044.62
Product_200,4.03,1793.79
Product_201,4.25,1443.75
Product_202,4.73,1146.05
Product_203,4.14,2607.22
Product_204,4.39,2505.46
Product_205,3.18,2462.36
Product_206,4.08,1677.43
Product_207,3.72,2363.55
Product_208,3.55,1936.45
Product_209,3.7,2066.6
Product_210,3.95,1742.02
Product_211,4.51,1333.8
Product_212,3.5,1981.89
Product_213,4.11,1341.16
Product_214,3.88,1510.94
Product_215,3.95,1537.84
Product_216,4.55,1103.31
Product_217,4.34,1325.49
Product_218,4.7,2089.47
Product_219,4.03,2100.48
Product_220,3.79,1707.72
Product_221,4.0,1806.4
Product_222,4.21,1421.43
Product_223,4.18,1473.83
Product_224,3.61,2104.25
Product_225,4.14,1776.68
Product_226,4.2,1441.16
Product_227,5.0,1205.53
Product_228,4.94,641.92
Product_229,3.72,1960.66
Product_230,3.97,3509.46
Product_231,3.44,2269.07
Product_232,3.83,2473.36
Product_233,4.24,1510.34
Product_234,4.64,1310.09
Product_235,3.77,1894.09
Product_236,3.81,1836.06
Product_237,3.13,2322.72
Product_238,4.03,1809.51
Product_239,3.62,1872.22
Product_240,3.86,2046.23
Product_241,3.71,2381.96
Product_242,4.06,1760.14
Product_243,3.31,2256.82
Product_244,3.44,2346.05
Product_245,5.0,730.09
Product_246,3.52,2472.48
Product_247,3.61,1776.88
Product_248,4.93,790.41
Product_249,5.0,510.61
Product_250,3.57,1837.14
