restaurant,rating,number_of_reviews
Restaurant_93,3.95,1775
Restaurant_94,3.63,187
Restaurant_95,2.78,43
Restaurant_96,3.62,70
Restaurant_97,3.62,56
Restaurant_98,3.72,318
Restaurant_99,3.49,87
Restaurant_100,3.56,141
Restaurant_101,3.78,134
Restaurant_102,4.04,316
Restaurant_103,3.63,61
Restaurant_104,3.57,48
Restaurant_105,3.85,180
Restaurant_106,2.74,138
Restaurant_107,4.06,223
Restaurant_108,3.8,69
Restaurant_109,3.82,267
Restaurant_110,4.33,98
Restaurant_111,2.73,50
Restaurant_112,2.71,34
Restaurant_113,3.95,502
Restaurant_114,3.8,253
Restaurant_115,3.89,260
Restaurant_116,3.55,383
Restaurant_117,4.17,2203
Restaurant_118,4.31,41
Restaurant_119,4.07,85
Restaurant_120,3.66,76
Restaurant_121,2.64,35
Restaurant_122,4.22,69
Restaurant_123,4.47,158
Restaurant_124,4.15,58
Restaurant_125,3.32,148
Restaurant_126,4.17,184
Restaurant_127,4.27,287
Restaurant_128,4.66,363
Restaurant_129,3.32,189
Restaurant_130,3.68,96
Restaurant_131,4.21,1212
Restaurant_132,3.83,180
Restaurant_133,3.19,19
Restaurant_134,4.03,66
Restaurant_135,4.12,36
Restaurant_136,3.85,149
Restaurant_137,3.92,137
Restaurant_138,3.66,87
Restaurant_139,4.61,1369
Restaurant_140,3.3,179
Restaurant_141,3.48,231
Restaurant_142,3.81,62
Restaurant_143,4.28,76
Restaurant_144,2.98,94
Restaurant_145,3.08,113
Restaurant_146,2.68,15
Restaurant_147,3.82,123
Restaurant_148,3.18,103
Restaurant_149,3.59,105
Restaurant_150,4.16,84
Restaurant_151,3.45,73
Restaurant_152,3.93,131
Restaurant_153,3.64,142
Restaurant_154,4.17,303
Restaurant_155,4.06,438
Restaurant_156,3.42,89
Restaurant_157,3.71,90
Restaurant_158,4.37,291
Restaurant_159,4.02,280
Restaurant_160,3.03,64
Restaurant_161,4.16,356
Restaurant_162,3.2,249
Restaurant_163,4.58,703
Restaurant_164,4.36,968
Restaurant_165,3.96,72
Restaurant_166,3.89,152
Restaurant_167,3.69,136
Restaurant_168,4.17,161
Restaurant_169,3.6,71
Restaurant_170,3.93,40
Restaurant_171,4.28,203
Restaurant_172,3.49,61
Restaurant_173,3.46,129
Restaurant_174,3.14,49
Restaurant_175,3.21,39
Restaurant_176,2.79,102
Restaurant_177,4.2,205
Restaurant_178,4.79,417
Restaurant_179,4.58,1577
Restaurant_180,2.91,112
Restaurant_181,4.2,276
Restaurant_182,4.58,84
Restaurant_183,3.55,39
Restaurant_184,3.86,614
Restaurant_185,2.7,34
Restaurant_186,3.95,61
Restaurant_187,3.22,100
Restaurant_188,3.91,140
Restaurant_189,2.94,40
Restaurant_190,4.1,128
Restaurant_191,4.36,591
Restaurant_192,3.37,55
Restaurant_193,3.17,29
Restaurant_194,2.61,174
Restaurant_195,3.65,206
Restaurant_196,3.48,69
Restaurant_197,2.95,22
Restaurant_198,4.05,84
Restaurant_199,3.55,119
Restaurant_200,3.21,296
Restaurant_201,3.49,48
Restaurant_202,4.39,184
Restaurant_203,4.13,316
Restaurant_204,3.73,16
Restaurant_205,4.14,438
Restaurant_206,3.16,35
Restaurant_207,3.82,195
Restaurant_208,3.88,187
Restaurant_209,3.54,330
Restaurant_210,4.04,268
Restaurant_211,3.37,13
Restaurant_212,4.08,83
Restaurant_213,4.1,192
Restaurant_214,2.2,50
Restaurant_215,4.45,316
Restaurant_216,2.12,116
Restaurant_217,3.46,206
Restaurant_218,4.36,161
Restaurant_219,3.63,25
Restaurant_220,2.99,61
Restaurant_221,3.2,150
Restaurant_222,4.36,73
Restaurant_223,2.74,141
Restaurant_224,4.42,457
Restaurant_225,3.77,158
Restaurant_226,3.14,10
Restaurant_227,3.48,38
Restaurant_228,3.24,575
Restaurant_229,4.28,114
Restaurant_230,4.2,30
Restaurant_231,2.85,259
Restaurant_232,3.58,128
Restaurant_233,3.33,298
Restaurant_234,4.51,272
Restaurant_235,3.06,144
Restaurant_236,4.68,323
Restaurant_237,3.78,266
Restaurant_238,3.16,783
Restaurant_239,3.43,280
Restaurant_240,3.36,27
Restaurant_241,3.1,146
Restaurant_242,3.85,412
Restaurant_243,3.12,292
Restaurant_244,2.6,50
Restaurant_245,3.59,365
Restaurant_246,2.81,191
Restaurant_247,3.39,1156
Restaurant_248,3.3,55
Restaurant_249,3.32,70
Restaurant_250,4.9,199
Restaurant_251,3.83,94
Restaurant_252,3.93,69
Restaurant_253,2.82,10
Restaurant_254,3.44,80
Restaurant_255,3.92,213
Restaurant_256,3.24,67
Restaurant_257,4.3,1077
Restaurant_258,3.14,101
Restaurant_259,3.64,420
Restaurant_260,3.48,152
Restaurant_261,3.89,317
Restaurant_262,3.45,152
Restaurant_263,3.65,453
Restaurant_264,3.67,140
Restaurant_265,3.4,179
Restaurant_266,4.07,231
Restaurant_267,3.93,119
Restaurant_268,3.75,201
Restaurant_269,3.56,940
Restaurant_270,4.24,143
Restaurant_271,3.67,195
Restaurant_272,3.63,405
Restaurant_273,3.86,413
Restaurant_274,4.73,242
Restaurant_275,3.06,11
Restaurant_276,4.22,288
Restaurant_277,2.76,11
Restaurant_278,3.92,575
Restaurant_279,4.67,269
Restaurant_280,4.07,409
Restaurant_281,3.89,67
Restaurant_282,3.49,30
Restaurant_283,3.82,183
Restaurant_284,3.66,129
Restaurant_285,3.37,73
Restaurant_286,3.64,142
Restaurant_287,3.91,1837
Restaurant_288,3.38,241
Restaurant_289,3.36,289
Restaurant_290,3.05,203
Restaurant_291,4.01,611
Restaurant_292,4.1,142
Restaurant_293,3.93,24
Restaurant_294,4.33,162
Restaurant_295,3.85,306
Restaurant_296,4.02,67
Restaurant_297,3.97,134
Restaurant_298,3.75,75
Restaurant_299,3.51,472
Restaurant_300,5.0,544
Restaurant_301,3.55,225
Restaurant_302,3.43,205
Restaurant_303,4.04,158
Restaurant_304,3.94,185
Restaurant_305,3.03,32
Restaurant_306,4.42,28
Restaurant_307,3.75,159
Restaurant_308,3.19,137
Restaurant_309,4.45,610
Restaurant_310,4.14,712
Restaurant_311,3.1,402
Restaurant_312,4.78,100
Restaurant_313,4.16,127
Restaurant_314,3.79,220
Restaurant_315,4.67,2264
Restaurant_316,3.89,570
Restaurant_317,3.78,389
Restaurant_318,3.44,83
Restaurant_319,4.12,77
Restaurant_320,4.06,337
Restaurant_321,3.81,53
Restaurant_322,3.37,91
Restaurant_323,3.87,134
Restaurant_324,3.76,588
Restaurant_325,3.07,70
Restaurant_326,2.99,10
Restaurant_327,4.11,268
Restaurant_328,2.37,35
Restaurant_329,3.91,158
Restaurant_330,3.54,115
Restaurant_331,4.52,166
Restaurant_332,3.53,251
Restaurant_333,4.16,44
Restaurant_334,3.58,80
Restaurant_335,3.86,275
Restaurant_336,4.21,103
Restaurant_337,3.55,29
Restaurant_338,4.35,354
Restaurant_339,3.25,292
Restaurant_340,3.96,150
Restaurant_341,4.31,32
Restaurant_342,4.16,330
Restaurant_343,4.85,57
Restaurant_344,3.38,150
Restaurant_345,3.04,42
Restaurant_346,3.25,37
Restaurant_347,4.16,118
Restaurant_348,4.07,141
Restaurant_349,3.86,83
Restaurant_350,3.18,173
