post_id,likes,comments
IG0187,406,8
IG0188,1078,30
IG0189,4928,78
IG0190,2035,36
IG0191,1245,21
IG0192,789,15
IG0193,816,19
IG0194,222,8
IG0195,1330,30
IG0196,2068,41
IG0197,336,14
IG0198,668,19
IG0199,460,29
IG0200,532,11
IG0201,1142,24
IG0202,230,20
IG0203,1738,44
IG0204,1930,32
IG0205,908,20
IG0206,171,22
IG0207,519,18
IG0208,2765,50
IG0209,137,8
IG0210,845,18
IG0211,453,16
IG0212,2005,36
IG0213,661,17
IG0214,1485,30
IG0215,1676,30
IG0216,4347,76
IG0217,942,71
IG0218,1454,24
IG0219,360,15
IG0220,2678,45
IG0221,620,20
IG0222,720,18
IG0223,1078,29
IG0224,340,22
IG0225,1302,28
IG0226,2266,50
IG0227,1366,22
IG0228,333,27
IG0229,999,25
IG0230,1913,44
IG0231,268,7
IG0232,490,11
IG0233,2116,40
IG0234,1343,27
IG0235,1494,31
IG0236,4423,82
IG0237,1558,26
IG0238,1796,42
IG0239,8375,133
IG0240,934,20
IG0241,603,12
IG0242,1511,33
IG0243,1524,24
IG0244,739,23
IG0245,506,10
IG0246,6200,101
IG0247,1401,28
IG0248,633,26
IG0249,2180,39
IG0250,1010,20
IG0251,907,19
IG0252,1672,43
IG0253,416,17
IG0254,1429,27
IG0255,4604,75
IG0256,1556,26
IG0257,827,22
IG0258,750,13
IG0259,806,25
IG0260,906,22
IG0261,826,52
IG0262,2180,36
IG0263,299,11
IG0264,2093,57
IG0265,825,29
IG0266,1455,26
IG0267,471,16
IG0268,2970,52
IG0269,2791,51
IG0270,2252,38
IG0271,352,12
IG0272,2042,33
IG0273,1486,30
IG0274,329,15
IG0275,1077,22
IG0276,1441,24
IG0277,1664,40
IG0278,1253,28
IG0279,1364,25
IG0280,3312,56
IG0281,2750,44
IG0282,128,6
IG0283,864,18
IG0284,969,32
IG0285,295,9
IG0286,1177,29
IG0287,2798,47
IG0288,485,16
IG0289,1411,28
IG0290,552,22
IG0291,663,15
IG0292,3321,52
IG0293,730,14
IG0294,1551,28
IG0295,270,7
IG0296,4433,76
IG0297,1723,31
IG0298,956,53
IG0299,1689,28
IG0300,381,14
